wfood,totexp,age,size,town,sex
0.4676991434930024,1290941.0,43.0,5.0,2.0,man
0.3130226028930075,1277978.0,40.0,3.0,2.0,man
0.3764819377385169,845852.0,28.0,3.0,2.0,man
0.4396908838009619,527698.0,60.0,1.0,2.0,woman
0.4036148728268161,1103220.0,37.0,5.0,2.0,man
0.1992502805226771,1768128.0,35.0,4.0,2.0,man
0.1587895215384879,1107529.0,40.0,4.0,2.0,man
0.5194651735394514,737959.0,68.0,2.0,2.0,woman
0.339172111922561,1019848.0,43.0,9.0,2.0,man
0.2722287677980615,2149883.0,51.0,7.0,2.0,man
0.2470674794127298,1383622.0,43.0,4.0,2.0,man
0.3599020390819294,1054298.0,48.0,6.0,1.0,man
0.5247268518660646,651478.0,51.0,5.0,1.0,man
0.5328598896444016,542972.0,58.0,2.0,1.0,man
0.1758723663395203,1159318.0,61.0,4.0,1.0,woman
0.3720122318229375,990204.0,53.0,7.0,1.0,man
0.2949474745848183,943924.0,58.0,3.0,1.0,man
0.27390204873519,1206110.0,64.0,3.0,1.0,man
0.4236408659979621,1316077.0,50.0,6.0,1.0,man
0.480431771426698,488036.0,50.0,3.0,1.0,woman
0.7522462920795125,259984.0,47.0,2.0,1.0,man
0.2875659406453283,247192.0,76.0,2.0,1.0,woman
0.3624309474392254,538177.0,49.0,2.0,1.0,man
0.3822505262360177,765341.0,44.0,5.0,1.0,man
0.2771994013719871,889367.0,49.0,2.0,1.0,man
0.3485665828055225,1347863.0,51.0,5.0,1.0,man
0.231023102310231,1977378.0,56.0,6.0,1.0,man
0.1765795077305612,2117052.0,63.0,6.0,1.0,man
0.7937035854582807,720410.0,30.0,4.0,1.0,man
0.2801921049549022,546368.0,70.0,2.0,1.0,man
0.3932802665679378,561808.0,29.0,4.0,1.0,man
0.3111350027624722,669690.0,60.0,5.0,2.0,man
0.4086286334422906,615532.0,50.0,5.0,2.0,man
0.3817533633765992,667038.0,56.0,3.0,2.0,man
0.841539825944005,554764.0,36.0,2.0,2.0,man
0.2543224937659981,1452518.0,46.0,5.0,2.0,man
0.1176552677436605,3324934.0,43.0,9.0,2.0,man
0.363463165113257,749534.0,32.0,4.0,1.0,man
0.1611545254814113,1160650.0,45.0,2.0,1.0,woman
0.2876178379324939,2095781.0,34.0,6.0,1.0,man
0.1948761503157681,807713.0,59.0,1.0,1.0,woman
0.4789504564317324,1683932.0,58.0,7.0,1.0,man
0.2267509439931771,1163144.0,59.0,5.0,1.0,man
0.32497757404931,1144879.0,56.0,4.0,1.0,man
0.2505953547730562,959092.0,54.0,5.0,1.0,man
0.5669298084863832,840358.0,69.0,2.0,1.0,man
0.5201590295122076,941712.0,48.0,6.0,1.0,man
0.7009257969175676,337331.0,72.0,2.0,1.0,man
0.2205821327242939,650642.0,49.0,3.0,1.0,man
0.4549460587853095,621788.0,62.0,2.0,1.0,man
0.3778031619666984,570784.0,73.0,2.0,1.0,man
0.6490305701597248,480076.0,62.0,2.0,1.0,man
0.3872359065943323,771602.0,45.0,3.0,1.0,man
0.5690091733472875,817913.0,46.0,4.0,3.0,man
0.4696670026838843,1410642.0,39.0,5.0,3.0,man
0.1604927472988001,1040371.0,59.0,2.0,3.0,man
0.2845025230725249,1063386.0,22.0,3.0,3.0,man
0.2756920981939792,1398212.0,64.0,4.0,3.0,man
0.1951368799959195,1921318.0,32.0,6.0,3.0,man
0.3675830673494225,1393568.0,52.0,4.0,3.0,man
0.03182571778304591,258156.0,45.0,1.0,3.0,man
0.3593204666805668,882488.0,28.0,3.0,3.0,man
0.7646822546134298,517836.0,70.0,3.0,3.0,man
0.201091964737529,375470.0,59.0,1.0,3.0,woman
0.4021851411273223,919666.0,59.0,3.0,3.0,man
0.4044362594399763,1369442.0,48.0,6.0,3.0,man
0.1581331676168346,2886858.0,33.0,5.0,3.0,man
0.4559176119577903,409574.0,45.0,1.0,3.0,woman
0.2247442187324881,1980794.0,52.0,4.0,3.0,man
0.4047361591695502,480896.0,49.0,5.0,3.0,man
0.4027678110657477,654958.0,56.0,4.0,3.0,man
0.3628918767878151,1871698.0,49.0,6.0,3.0,man
0.2401791301288687,1387148.0,39.0,4.0,3.0,man
0.5186707433211368,239412.0,65.0,2.0,3.0,man
0.2843245402982741,690774.0,25.0,3.0,3.0,man
0.4335783467833724,544732.0,50.0,5.0,3.0,man
0.0743738226470383,2923932.0,32.0,5.0,3.0,man
0.5508469650976167,447362.0,30.0,4.0,3.0,man
0.4163548020262587,580380.0,62.0,3.0,1.0,man
0.4525845497089979,301716.0,60.0,2.0,1.0,man
0.4984424476043483,778786.0,62.0,3.0,1.0,man
0.3600430847233711,336082.0,49.0,2.0,1.0,man
0.4748592826358305,339688.0,72.0,2.0,1.0,man
0.4890751498541392,475796.0,51.0,6.0,1.0,man
0.5638402025808447,815082.0,69.0,4.0,1.0,man
0.424322070307564,1028794.0,34.0,3.0,1.0,man
0.3079763060805178,1164687.0,45.0,5.0,1.0,man
0.3476721709498504,981902.0,35.0,4.0,1.0,man
0.2347168980921154,2272150.0,32.0,5.0,1.0,man
0.200978875418413,1848652.0,24.0,3.0,1.0,man
0.3073093054029201,178348.0,77.0,1.0,1.0,woman
0.5352226127709432,710112.0,60.0,3.0,1.0,man
0.711356213524656,224124.0,55.0,4.0,1.0,man
0.5874779096187831,95064.0,60.0,1.0,1.0,woman
0.6605152462902163,192801.0,71.0,1.0,1.0,woman
0.4888936402727294,168372.0,77.0,2.0,1.0,man
0.5106325602185433,1082806.0,57.0,5.0,1.0,man
0.4978172382837959,162638.0,66.0,1.0,2.0,woman
0.3435702715641333,304974.0,69.0,1.0,2.0,woman
0.3508171343578844,1087826.0,47.0,4.0,2.0,man
0.2652666976894856,1944805.0,54.0,3.0,2.0,man
0.1915063584752859,1454594.0,51.0,3.0,2.0,man
0.6101097202345368,662412.0,65.0,3.0,2.0,man
0.4308038812339697,886213.0,38.0,4.0,2.0,man
0.6460241841741379,2160173.0,61.0,5.0,4.0,man
0.4964640272324223,773196.0,74.0,2.0,4.0,man
0.1729192525921629,2404845.0,45.0,5.0,4.0,man
0.2997403674037158,1674289.0,37.0,5.0,4.0,man
0.3059246509292179,2748010.0,38.0,5.0,4.0,man
0.1210174299420587,2102474.0,62.0,4.0,4.0,man
0.2147757536816773,2104204.0,37.0,3.0,4.0,man
0.3078453230073785,715866.0,25.0,2.0,4.0,woman
0.2904553245696526,599748.0,28.0,3.0,4.0,man
0.4220214827069577,409818.0,37.0,4.0,4.0,man
0.4016072954817052,1034284.0,35.0,4.0,4.0,man
0.4403592628338168,785386.0,60.0,7.0,4.0,man
0.216386725220731,2622989.0,48.0,5.0,4.0,man
0.1843440082930967,360782.0,58.0,2.0,4.0,woman
0.2822916362858615,514305.0,37.0,3.0,4.0,man
0.2171589369463262,959500.0,62.0,4.0,4.0,man
0.4504808827590623,1499118.0,40.0,4.0,4.0,man
0.2369034380206136,938796.0,44.0,3.0,4.0,man
0.2838407163423443,1529548.0,57.0,5.0,4.0,man
0.3300985318065458,1236758.0,58.0,2.0,4.0,man
0.3461749572943331,779756.0,42.0,4.0,4.0,man
0.2707848991406878,659830.0,28.0,3.0,4.0,man
0.4504494820499279,855874.0,59.0,2.0,4.0,man
0.6578342826572678,285993.0,73.0,3.0,4.0,man
